08:01:08 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
08:01:12 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
08:01:12 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
08:01:22 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
08:01:22 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()='LOGIN']
08:01:23 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()='LOGIN']was found
08:01:23 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[1]
08:01:24 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1]was found
08:01:25 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[2]
08:01:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2]was found
08:01:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[1]
08:01:26 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[1]was found
08:01:27 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
08:01:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
08:01:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
08:01:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
08:01:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
08:01:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
08:01:30 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
08:01:30 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
08:01:31 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
08:01:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
08:01:32 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
08:01:32 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
08:01:33 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Address']
08:01:33 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Address']was found
08:01:33 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='description']
08:01:33 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='description']was found
08:01:34 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Save']
08:01:34 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Save']was found
08:01:34 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h3
