07:52:08 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
07:52:12 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
07:52:12 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
07:52:22 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
07:52:22 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()='LOGIN']
07:52:22 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()='LOGIN']was found
07:52:23 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[1]
07:52:23 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1]was found
07:52:24 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[2]
07:52:24 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2]was found
07:52:25 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[1]
07:52:25 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[1]was found
07:52:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:52:26 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:52:26 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:52:26 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:52:27 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
07:52:27 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
07:52:27 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
07:52:27 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
07:52:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
07:52:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
07:52:28 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
07:52:28 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
07:52:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Address']
07:52:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Address']was found
07:52:29 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='description']
07:52:29 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='description']was found
07:52:30 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Save']
07:52:30 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Save']was found
07:52:30 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h3
07:52:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h3was found
07:52:31 [Test worker] INFO  tests.TestBase - **********************************
07:52:31 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
07:52:31 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
07:52:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
07:52:31 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:52:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:52:31 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:52:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:52:31 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
07:52:31 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
07:52:32 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
07:52:32 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
07:52:32 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
07:52:32 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
07:52:33 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
07:52:33 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
07:52:33 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Address']
07:52:33 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Address']was found
07:52:34 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='description']
07:52:34 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='description']was found
07:52:34 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Save']
07:52:34 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Save']was found
07:52:34 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h3
07:52:35 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h3was found
07:52:35 [Test worker] INFO  tests.TestBase - **********************************
07:52:35 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
07:52:35 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
07:52:35 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
07:52:35 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:52:35 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:52:35 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
07:52:36 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
07:52:36 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
07:52:36 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
07:52:36 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
07:52:36 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
07:52:37 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
07:52:37 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
07:52:37 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
07:52:37 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
