21:21:59 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
21:22:02 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
21:22:02 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
21:22:12 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
21:22:12 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()='LOGIN']
21:22:13 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()='LOGIN']was found
21:22:13 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[1]
21:22:13 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1]was found
21:22:14 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[2]
21:22:14 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2]was found
21:22:15 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[1]
21:22:15 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[1]was found
21:22:16 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[@href='/add']
21:22:16 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[@href='/add']was found
21:22:16 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
21:22:17 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
21:22:17 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
21:22:17 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
21:22:17 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
21:22:17 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
21:22:18 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
21:22:18 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
21:22:18 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Address']
21:22:19 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Address']was found
21:22:19 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='description']
21:22:19 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='description']was found
21:22:20 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Save']
21:22:20 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Save']was found
21:22:20 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h3
21:22:21 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h3was found
21:22:21 [Test worker] INFO  tests.TestBase - **********************************
