13:36:42 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
13:36:45 [Test worker] INFO  tests.TestBase - Start test -->addNewContactTest
13:36:45 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[normalize-space()='LOGIN']
13:36:45 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[normalize-space()='LOGIN']was found
13:36:45 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()='LOGIN']
13:36:45 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()='LOGIN']was found
13:36:46 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[1]
13:36:46 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1]was found
13:36:47 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[2]
13:36:47 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2]was found
13:36:48 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[1]
13:36:48 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[1]was found
13:36:53 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[normalize-space()='ADD']
13:36:53 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[normalize-space()='ADD']was found
13:36:54 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Name']
13:36:54 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Name']was found
13:36:55 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Last Name']
13:36:55 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Last Name']was found
13:36:56 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Phone']
13:36:56 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Phone']was found
13:36:56 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='email']
13:36:56 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='email']was found
13:36:57 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='Address']
13:36:57 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='Address']was found
13:36:58 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: [placeholder='description']
13:36:58 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: [placeholder='description']was found
13:36:58 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Save']
13:36:58 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Save']was found
13:37:08 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: h3
13:37:09 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: h3was found
13:37:10 [Test worker] INFO  tests.TestBase - **********************************
13:37:10 [Test worker] INFO  manager.ApplicationManager - Tests finish
