23:05:02 [Test worker] INFO  manager.ApplicationManager - Tests starts on Chrome Driver
23:05:05 [Test worker] INFO  tests.TestBase - Start test -->removeOneContact
23:05:05 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[text()='Sign Out']
23:05:15 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[text()='Sign Out']was found
23:05:15 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()='LOGIN']
23:05:15 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()='LOGIN']was found
23:05:16 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[1]
23:05:16 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[1]was found
23:05:17 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //input[2]
23:05:17 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //input[2]was found
23:05:17 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[1]
23:05:17 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[1]was found
23:05:19 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
23:05:19 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIMwas found
23:05:19 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
23:05:19 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIMwas found
23:05:19 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
23:05:19 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIMwas found
23:05:19 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //button[.='Remove']
23:05:19 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //button[.='Remove']was found
23:05:20 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: .contact-item_card__2SOIM
23:05:20 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: .contact-item_card__2SOIMwas found
23:05:20 [Test worker] INFO  tests.TestBase - **********************************
